0	50
0.097	50
0.097	110
2.926	110
2.926	110
2.926	110
2.926	110
3.082	110
3.082	80
4.877	80
4.877	100
5.729	100
5.729	120
8.086	120
8.086	130
11.963	130
11.963	160
20.072	160
20.072	120
21.545	120
21.545	115
22.532	115
22.532	140
30.112	140
30.112	120
33.242	120
33.242	130
37.025	130
37.025	120
39.325	120
39.325	160
58.341	160
58.341	140
59.138	140
59.138	130
60.372	130
60.372	130
61.923	130
61.923	145
64.415	145
64.415	160
90.432	160
90.432	150
92.239	150
92.239	140
95.386	140
95.386	160
102.389	160
102.389	100
104.772	100
104.772	160
139.292	160
139.292	115
140.355	115
140.355	85
145.242	85
145.242	80
147.572	80
147.572	85
149.883	85
149.883	120
151.299	120
151.299	130
153.543	130
153.543	160
159.292	160
159.292	120
162.116	120
162.116	75
162.399	75
162.399	60
163.214	60
163.214	60
163.214	60
163.214	60
164.104	60
164.104	120
167.724	120
167.724	125
170.047	125
170.047	140
176.842	140
176.842	135
177.27	135
177.27	160
185.891	160
185.891	150
187.384	150
187.384	140
190.398	140
190.398	130
193.342	130
193.342	120
194.526	120
194.526	110
195.106	110
195.106	125
197.622	125
197.622	160
201.467	160
201.467	120
202.804	120
202.804	160
217.419	160
217.419	140
223.808	140
223.808	160
249.894	160
249.894	140
251.104	140
251.104	160
267.527	160
267.527	40
270.177	40
270.177	40
270.177	40
270.177	40
270.985	40
270.985	105
271.6	105
271.6	110
272.302	110
272.302	130
273.272	130
273.272	160
276.355	160
276.355	160
276.865	160
276.865	100
276.865	100
276.865	100
277.357	100
277.357	140
280.264	140
280.264	120
284.568	120
284.568	100
285.207	100
285.207	120
297.658	120
297.658	110
298.892	110
298.892	115
300.755	115
300.755	135
310.884	135
310.884	125
314.182	125
314.182	160
318.376	160
318.376	150
320.149	150
320.149	160
329.121	160
329.121	140
330.349	140
330.349	150
338.141	150
338.141	160
347.037	160
347.037	120
348.506	120
348.506	50
349.078	50
349.078	80
349.535	80
349.535	100
376.067	100
376.067	50
376.776	50
376.776	0
